entry_date,ticker,exit_date,stock_entry_price,stock_exit_price,call_premium_pct,pnl_pct,leg
2024-11-04,MRK,2024-12-30,97.6798,94.8455,2.3684,-2.37,primary
2024-11-04,MSFT,2024-12-30,417.6547,419.2929,2.369,-1.98,primary
2024-11-04,OXY,2024-12-30,48.9854,49.1881,2.4783,-2.06,primary
2024-11-04,ROP,2024-12-30,562.9871,510.4396,2.369,-2.37,primary
2024-11-04,TFC,2024-12-30,42.1801,41.6037,2.3805,-2.38,primary
2024-11-04,TJX,2024-12-30,115.6999,118.9156,2.4135,0.37,primary
2024-11-04,VLO,2024-12-30,130.7185,119.7337,2.4783,-2.48,primary
2024-11-04,VRTX,2024-12-30,516.74,407.11,3.0864,-3.09,primary
2024-11-18,AAPL,2025-01-13,228.6211,228.7305,2.479,-2.43,primary
2024-11-18,COST,2025-01-13,957.6974,937.0137,1.7571,-1.76,primary
2024-11-18,ELV,2025-01-13,390.8897,375.66,2.032,-2.03,primary
2024-11-18,FANG,2025-01-13,179.104,174.1646,2.392,-2.39,primary
2024-11-18,KLAC,2025-01-13,631.5547,750.0758,5.2774,13.49,primary
2024-11-18,KMB,2025-01-13,130.1934,120.7252,2.0217,-2.02,primary
2024-11-18,LRCX,2025-01-13,71.6746,79.4761,5.2774,5.61,primary
2024-11-18,MCO,2025-01-13,475.1471,471.2304,1.3262,-1.33,primary
2024-11-18,MRK,2025-01-13,94.1302,93.6783,2.416,-2.42,primary
